year,performance_of_stocks_soft_limit,percent
2009,landings_from_stocks_above_soft_limit,94
2010,landings_from_stocks_above_soft_limit,94.8
2011,landings_from_stocks_above_soft_limit,95.1
2012,landings_from_stocks_above_soft_limit,96.6
2013,landings_from_stocks_above_soft_limit,96.1
2014,landings_from_stocks_above_soft_limit,96.4
2015,landings_from_stocks_above_soft_limit,96.8
2009,stocks_above_soft_limit,81.1
2010,stocks_above_soft_limit,86.7
2011,stocks_above_soft_limit,85
2012,stocks_above_soft_limit,83.2
2013,stocks_above_soft_limit,82
2014,stocks_above_soft_limit,83.6
2015,stocks_above_soft_limit,82.8
